30,14522.0833333,261.523413398,14789.94,14167.29,14609.02
90,23769.3166667,180.124473505,24024.05,23642.61,23641.29
150,27050.2333333,166.817184633,27278.39,26884.19,26988.12
210,27894.55,134.890320631,27866.73,28071.9,27745.02
270,27712.3466667,314.458741579,28028.35,27825.33,27283.36
330,27102.24,74.2402940907,26999.69,27173.01,27134.02
390,27305.25,112.308151381,27463.74,27217.04,27234.97
450,27068.8633333,105.836577273,26924.84,27105.59,27176.16
510,27310.3533333,175.931932734,27085.46,27514.97,27330.63
570,26684.27,322.878536089,27135.51,26519.17,26398.13
630,26405.0566667,256.267012097,26095.14,26722.72,26397.31
690,26371.98,261.265089261,26568.92,26002.77,26544.25
750,26304.3,234.248850157,26330.81,26577.02,26005.07
810,26084.7333333,203.834387405,26366.65,25891.67,25995.88
870,25581.9133333,155.424848793,25567.22,25779.19,25399.33
