30,2.41777777778,0.0181216738114,2.40333333333,2.44333333333,2.40666666667
90,4.16888888889,0.021140330656,4.17666666667,4.14,4.19
150,6.17222222222,0.0382325567424,6.12333333333,6.21666666667,6.17666666667
210,7.83888888889,0.0313088951191,7.84,7.8,7.87666666667
270,9.85444444444,0.108741396708,9.74666666667,9.81333333333,10.0033333333
330,12.44,0.0241906011745,12.4733333333,12.4166666667,12.43
390,14.94,0.0546368482362,14.8766666667,14.9333333333,15.01
450,17.4,0.064175684792,17.4866666667,17.38,17.3333333333
510,19.5577777778,0.131383897016,19.7433333333,19.4733333333,19.4566666667
570,21.9688888889,0.198966465318,21.6966666667,22.0433333333,22.1666666667
630,25.0088888889,0.175548523066,25.2233333333,24.7933333333,25.01
690,27.37,0.237954243968,27.0633333333,27.4033333333,27.6433333333
750,29.8444444444,0.238208332928,29.63,29.7266666667,30.1766666667
810,32.1155555556,0.435612241209,31.5266666667,32.2533333333,32.5666666667
870,35.0555555556,0.538587544611,35.1033333333,34.3733333333,35.69
