30,15877.62,62.5811574411,15830.29,15966.05,15836.52
90,25485.7233333,621.629441245,26291.49,25387.29,24778.39
150,28376.6433333,304.139702147,28805.52,28190.49,28133.92
210,30698.2833333,179.039813139,30736.28,30896.08,30462.49
270,30675.6,361.12193204,31136.03,30254.03,30636.74
330,30697.2733333,246.640856623,30874.86,30348.49,30868.47
390,30259.92,147.104301319,30433.1,30273.16,30073.5
450,30044.0966667,98.2257380844,30006.99,30178.58,29946.72
510,29808.8966667,21.6707180828,29801.61,29786.76,29838.32
570,30140.9566667,105.359097166,30230.97,30198.78,29993.12
630,30238.36,64.0156314244,30153.0,30307.16,30254.92
690,29604.13,427.896368373,29378.42,30203.23,29230.74
750,29697.2733333,381.84422778,29903.53,30026.35,29161.94
810,29771.73,336.027687054,29374.66,29744.16,30196.37
870,29253.1033333,492.742103223,29661.38,28559.91,29538.02
