MC,MW,Threads,TPS_1,TPS_2,TPS_3
-1,-1,-1,6232.82,6180.9,6654.47
-1,-1,1,12054.08,11417.01,11838.1
-1,1,-1,10542.57,10579.65,10477.33
-1,1,1,19360.33,18999.67,18239.5
1,-1,-1,3987.2,4015.18,4018.7
1,-1,1,6129.36,7755.02,8036.72
1,1,-1,8354.41,8368.4,8562.45
1,1,1,16266.49,16348.99,15362.5
