MC,MW,Threads,LAT_1,LAT_2,LAT_3
-1,-1,-1,27.8366666667,27.79,24.98
-1,-1,1,15.23,14.6366666667,15.0833333333
-1,1,-1,19.0833333333,19.6083333333,19.4016666667
-1,1,1,9.27333333333,8.90333333333,9.24333333333
1,-1,-1,36.43,33.94,33.7566666667
1,-1,1,17.53,17.8333333333,16.92
1,1,-1,18.105,18.2933333333,18.18
1,1,1,9.51333333333,9.74166666667,9.52333333333
