MC,MW,Threads,TPS_1,TPS_2,TPS_3
-1,-1,-1,6583.99,5872.06,5875.35
-1,-1,1,10784.87,10559.31,11112.0
-1,1,-1,9237.88,9269.57,9318.59
-1,1,1,18600.28,17272.73,17470.06
1,-1,-1,3115.38,3198.37,3114.57
1,-1,1,6247.53,6427.93,6391.08
1,1,-1,6461.39,6646.43,6720.81
1,1,1,12841.69,13124.02,12610.09
