MC,MW,Threads,LAT_1,LAT_2,LAT_3
-1,-1,-1,29.1566666667,32.83,32.6733333333
-1,-1,1,17.8033333333,17.9566666667,17.3066666667
-1,1,-1,22.08,21.8316666667,21.7533333333
-1,1,1,10.33,11.2783333333,11.11
1,-1,-1,61.6233333333,60.0366666667,61.13
1,-1,1,30.7266666667,29.8666666667,30.04
1,1,-1,29.4583333333,28.9716666667,28.66
1,1,1,14.9916666667,14.645,15.24
